eval_count,function_count,document_write,setTimeout,length,entropy,iframe_count,window_location,createElement_count,appendChild_count,dispatchEvent_count,onmouseover_count,fromCharCode_count,charCodeAt_count,escape_count,unescape_count,digit_count,hex_count,backslash_count,pipe_count,percent_count,curly_brace_count,space_count,parseInt_count,classid_count,ActiveXObject_count,concat_count,indexOf_count,substring_count,replace_count,addEventListener_count,attachEvent_count,getElementById_count,search_count,split_count,onerror_count,onload_count,onbeforeunload_count,setAttribute_count,charAt_count,consoleLog_count,js_file_count,php_file_count,random_count,decode_count,toString_count,encoded_char_count,long_string_count,max_word_length,min_word_length,entropy_longest_word,popup_window,right_clic,share_of_digits,share_of_hex,share_of_backslash,share_of_pipe,share_of_percent,share_of_curly_braces,share_of_spaces,unsafe_anchor_percent
0.0,585.0,0.0,7.0,266478.0,5.423396574895548,2.0,0.0,17.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,27962.0,17.0,262.0,1263.0,7.0,1918.0,133892.0,1.0,1.0,2.0,5.0,15.0,0.0,43.0,4.0,4.0,6.0,0.0,14.0,0.0,5.0,0.0,11.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,14.0,164.0,4029.0,1.0,4.411342601791829,0.0,0.0,0.10493173920548789,6.379513505805358e-05,0.0028284878385818695,0.013635038702782066,7.557028576363774e-05,0.02070625829923674,0.6652919459585696,0.8849557522123894
0.0,0.0,0.0,0.0,123.0,5.020198954783954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.94770277922009,0.0,0.0,0.08130081300813008,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0
1.0,3218.0,0.0,13.0,421042.0,5.611306068559643,14.0,14.0,12.0,12.0,2.0,2.0,7.0,9.0,0.0,0.0,9924.0,1.0,1200.0,2221.0,160.0,9149.0,8585.0,18.0,0.0,0.0,50.0,53.0,12.0,41.0,23.0,7.0,5.0,0.0,32.0,18.0,72.0,18.0,6.0,5.0,0.0,81.0,23.0,4.0,5.0,43.0,38.0,361.0,103.0,7.0,5.472001471028421,0.0,0.0,0.21839080459770116,4.2153184673102054e-05,0.05982905982905983,0.006091370558375634,0.0003800095952422799,0.2,0.0273972602739726,0.0
0.0,2723.0,0.0,33.0,485282.0,5.52219490642975,16.0,22.0,41.0,42.0,9.0,0.0,2.0,16.0,25.0,7.0,17826.0,4.0,708.0,2194.0,50.0,10937.0,8006.0,19.0,0.0,0.0,151.0,138.0,93.0,115.0,103.0,1.0,9.0,2.0,69.0,15.0,31.0,0.0,65.0,20.0,4.0,900.0,4.0,7.0,8.0,30.0,16.0,365.0,921.0,2.0,5.954196310386875,0.0,0.0,0.4885441789081342,8.242630058399034e-06,0.01479811838494708,0.00479096352180228,0.00017466231951560317,0.06091370558375635,0.05835906793935991,0.0
0.0,2048.0,0.0,21.0,389991.0,6.001032390945937,87.0,50.0,23.0,20.0,8.0,0.0,5.0,11.0,28.0,11.0,8748.0,2464.0,4648.0,1895.0,41.0,8127.0,15675.0,21.0,0.0,0.0,96.0,105.0,67.0,58.0,28.0,3.0,5.0,1.0,75.0,17.0,12.0,0.0,14.0,7.0,5.0,12.0,0.0,11.0,10.0,18.0,427.0,438.0,110.0,2.0,4.558088670425058,0.0,0.0,0.12637600762763285,0.03559561988963046,0.0912863070539419,0.012959268626003361,0.00023032983231988208,0.03792667509481669,0.32937166021743136,0.0
0.0,1.0,0.0,0.0,1898.0,6.065446582823153,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,1.0,6.0,0.0,0.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,237.0,2.0,5.796417503405863,0.0,0.0,0.13540569020021076,0.0005268703898840885,0.003161222339304531,0.0,0.0,0.002107481559536354,0.023182297154899896,0.0
1.0,36848.0,0.0,153.0,9343077.0,6.0376422038281055,396.0,112.0,1359.0,339.0,197.0,0.0,29.0,66.0,9.0,4.0,276303.0,20.0,40486.0,21348.0,1527.0,150724.0,176690.0,70.0,0.0,0.0,353.0,395.0,153.0,331.0,543.0,2.0,35.0,7.0,298.0,198.0,116.0,0.0,331.0,93.0,10.0,29.0,0.0,95.0,29.0,379.0,26304.0,8207.0,1536.0,4.0,5.784953541877556,1.0,0.0,0.2695984703632887,0.010309278350515464,0.03461210959537734,0.018518518518518517,0.0038240917782026767,0.07360055286800277,0.10185185185185185,4.945054945054945
1.0,1202.0,0.0,5.0,307867.0,5.347567348822259,0.0,11.0,1.0,126.0,3.0,0.0,0.0,9.0,0.0,0.0,7590.0,0.0,104.0,1337.0,59.0,3980.0,2924.0,7.0,0.0,0.0,10.0,17.0,10.0,4.0,8.0,0.0,1.0,0.0,18.0,7.0,0.0,0.0,316.0,1.0,0.0,3.0,0.0,8.0,2.0,5.0,0.0,276.0,33.0,6.0,4.186704345910025,0.0,0.0,0.18604651162790697,0.0,0.0028976175144880875,0.012605042016806723,0.00045081754027014373,0.046511627906976744,0.42042755344418054,0.0
0.0,11070.0,0.0,27.0,3413374.0,5.829354797410348,14.0,87.0,37.0,22.0,8.0,0.0,8.0,12.0,3.0,1.0,86774.0,2.0,2225.0,9790.0,424.0,60172.0,40763.0,24.0,0.0,2.0,205.0,90.0,11.0,55.0,61.0,3.0,14.0,1.0,77.0,57.0,78.0,13.0,31.0,15.0,5.0,273.0,23.0,9.0,8.0,168.0,928.0,1411.0,144.0,4.0,5.954196310386875,1.0,0.0,0.548728813559322,7.965588657001752e-05,0.058997050147492625,0.005159807234254694,0.0004621830590471254,0.061946902654867256,0.026306244564411472,0.0
2.0,12025.0,0.0,64.0,2946478.0,5.557556208024982,6.0,72.0,2295.0,12.0,3.0,0.0,13.0,50.0,3.0,1.0,137698.0,12.0,4151.0,8218.0,268.0,59209.0,46469.0,53.0,0.0,1.0,1813.0,196.0,37.0,142.0,58.0,2.0,16.0,2.0,92.0,46.0,30.0,0.0,14.0,42.0,0.0,109.0,0.0,16.0,7.0,96.0,3785.0,2379.0,207.0,5.0,5.71537840033549,1.0,0.0,0.26744186046511625,4.072658950788026e-06,0.004595860957214539,0.006750412974256092,0.00041027043659612293,0.030824539340587237,0.17025862068965517,0.0
